ID,All_fragments,All_fragments_h,Counts
BIOFACQUIM_All_frag_1,*O,O,55
BIOFACQUIM_All_frag_2,*C(C)=O,CC=O,53
BIOFACQUIM_All_frag_3,*OC,CO,37
BIOFACQUIM_All_frag_4,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,21
BIOFACQUIM_All_frag_5,*CC(*)=O,CC=O,20
BIOFACQUIM_All_frag_6,*C(=O)C(C)=CC,CC=C(C)C=O,19
BIOFACQUIM_All_frag_7,*c1ccc(O)c(O)c1,Oc1ccccc1O,18
BIOFACQUIM_All_frag_8,*C(=O)C(C)C,CC(C)C=O,13
BIOFACQUIM_All_frag_9,*c1ccc(O)cc1,Oc1ccccc1,12
BIOFACQUIM_All_frag_10,*C(C)C,CCC,11
BIOFACQUIM_All_frag_11,*c1cc(=O)c2c(O)cc(O)cc2o1,O=c1ccoc2cc(O)cc(O)c12,7
BIOFACQUIM_All_frag_12,*Cc1ccc(O)cc1,Cc1ccc(O)cc1,7
BIOFACQUIM_All_frag_13,*C(=O)C=Cc1ccc(O)cc1,O=CC=Cc1ccc(O)cc1,6
BIOFACQUIM_All_frag_14,*Cc1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,6
BIOFACQUIM_All_frag_15,*c1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,6
BIOFACQUIM_All_frag_16,*c1oc2cc(O)cc(O)c2c(=O)c1*,O=c1ccoc2cc(O)cc(O)c12,6
BIOFACQUIM_All_frag_17,*CCO,CCO,6
BIOFACQUIM_All_frag_18,*C(=O)C=Cc1ccc(O)c(O)c1,O=CC=Cc1ccc(O)c(O)c1,6
BIOFACQUIM_All_frag_19,*Cc1ccccc1,Cc1ccccc1,6
BIOFACQUIM_All_frag_20,*c1ccc(OC)cc1,COc1ccccc1,5
BIOFACQUIM_All_frag_21,*c1ccccc1,c1ccccc1,5
BIOFACQUIM_All_frag_22,*c1cc(OC)cc2oc(=O)cc(-c3ccc(O)c(O)c3)c12,COc1ccc2c(-c3ccc(O)c(O)c3)cc(=O)oc2c1,4
BIOFACQUIM_All_frag_23,*C[C](CCCC)O*,CCCC[C](C)O,4
BIOFACQUIM_All_frag_24,*C(=O)C(*)C,CCC=O,4
BIOFACQUIM_All_frag_25,*c1cc(OC)cc2oc(=O)cc(*)c12,COc1ccc2ccc(=O)oc2c1,4
BIOFACQUIM_All_frag_26,*C(=O)C(O)Cc1ccccc1,O=CC(O)Cc1ccccc1,4
BIOFACQUIM_All_frag_27,*C[C](*)CCCC,C[CH]CCCC,4
BIOFACQUIM_All_frag_28,*C[C](CCCC)OC(C)=O,CCCC[C](C)OC(C)=O,4
BIOFACQUIM_All_frag_29,*C(C)C(=O)C1C[C@@H]1[C@H](O)[C@H]1C=CCC(=O)O1,CCC(=O)C1C[C@@H]1[C@H](O)[C@H]1C=CCC(=O)O1,4
BIOFACQUIM_All_frag_30,*c1ccc(O)c(OC)c1,COc1ccccc1O,4
BIOFACQUIM_All_frag_31,*CCCC,CCCC,4
BIOFACQUIM_All_frag_32,*CC(=O)O[C@@H](C)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,CC(=O)O[C@@H](C)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,4
BIOFACQUIM_All_frag_33,*Cc1ccc(OC)cc1,COc1ccc(C)cc1,4
BIOFACQUIM_All_frag_34,*O[C@@H](C)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,C[C@H](O)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,4
BIOFACQUIM_All_frag_35,*[C@@H](C)[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,CC[C@@H]1CC[C@H]([C@H](O)[C@H]2C=CCC(=O)O2)O1,4
BIOFACQUIM_All_frag_36,*C(=O)CC(C)C,CC(C)CC=O,4
BIOFACQUIM_All_frag_37,*C(C)C(=O)O,CCC(=O)O,4
