ID,isomeric_smiles,canonical_smiles,Database,NumCarbons,NumOxygens,NumNitrogens,FractionOfCarbons,FractionOfOxygens,FractionOfNitrogens,CSP3,FractionOfChiralCarbons,MW,NumHeavyAtoms,Ring,AliphaticRing,AromaticRing,Heterocycle,AliphaticHeterocycle,AromaticHeterocycle,SpiroAtom,BridgeheadAtom
DB00006,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,CC[C@H](C)C(NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)O,FDA,98,33,24,0.632258064516129,0.2129032258064516,0.15483870967741936,0.5408163265306123,0.16326530612244897,2178.9858128759984,155,6,3,3,3,3,3,0,0
DB00007,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,CCNC(=O)C1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1,FDA,59,12,16,0.6781609195402298,0.13793103448275862,0.1839080459770115,0.5254237288135594,0.15254237288135594,1208.6454621279997,87,6,2,4,4,2,4,0,0
DB00014,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,CC(C)CC(NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,FDA,59,14,18,0.6483516483516484,0.15384615384615385,0.1978021978021978,0.5084745762711864,0.15254237288135594,1268.6414393679997,91,6,2,4,4,2,4,0,0
DB00027,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,CC(C)CC(NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,FDA,96,16,19,0.732824427480916,0.12213740458015267,0.1450381679389313,0.5104166666666666,0.13541666666666666,1810.0334192399994,131,8,0,8,4,0,8,0,0
DB00035,N=C(N)NCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,N=C(N)NCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSCCC(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,FDA,46,12,14,0.6216216216216216,0.16216216216216217,0.1891891891891892,0.4782608695652174,0.15217391304347827,1068.426955488,74,4,2,2,2,2,2,0,0
DB00050,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,FDA,70,14,17,0.6862745098039216,0.13725490196078433,0.16666666666666666,0.42857142857142855,0.14285714285714285,1429.6698183039998,102,6,1,5,2,1,5,0,0
DB00067,NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O.NCCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCC(N)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,FDA,46,12,15,0.6133333333333333,0.16,0.2,0.4782608695652174,0.17391304347826086,1083.4378545200002,75,4,2,2,2,2,2,0,0
DB00080,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,CCCCCCCCCC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]1C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c2ccccc2N)C(=O)O[C@@H]1C,FDA,72,26,17,0.6260869565217392,0.22608695652173913,0.14782608695652175,0.5277777777777778,0.18055555555555555,1619.7103663519993,115,4,1,3,2,1,3,0,0
DB00091,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,C/C=C/C[C@@H](C)[C@@H](O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,FDA,62,12,11,0.7294117647058823,0.1411764705882353,0.12941176470588237,0.7903225806451613,0.1935483870967742,1201.8413679919997,85,1,1,0,1,1,0,0,0
DB00106,CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,CC(=O)NC(Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N(C)[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,FDA,72,14,14,0.7128712871287128,0.13861386138613863,0.13861386138613863,0.4583333333333333,0.1388888888888889,1414.6840713999995,101,6,1,5,2,1,5,0,0
DB00114,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,Cc1ncc(CO[PH](=O)(=O)O)c(C=O)c1O,FDA,8,6,1,0.5,0.375,0.0625,0.25,0.0,247.02457367,16,1,0,1,1,0,1,0,0
DB00115,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,CC1=C2N=C(C=C3N=C(C(C)C4=N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)NC[C@@H](C)O[PH](=O)(=O)O[C@H]1[C@@H](O)[C@@H](n6cnc7cc(C)c(C)cc76)O[C@@H]1CO)[C@H]5CC(N)=O)[C@@](C)(CC(N)=O)C4CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O,FDA,62,14,13,0.6888888888888889,0.15555555555555556,0.14444444444444443,0.6451612903225806,0.24193548387096775,1271.6467811899997,90,8,6,2,7,6,2,0,8
DB00118,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C[S+](CCC(N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(=N)[nH]cnc32)[C@H](O)[C@@H]1O,FDA,15,5,6,0.5555555555555556,0.18518518518518517,0.2222222222222222,0.6,0.3333333333333333,398.137238804,27,3,1,2,3,1,2,0,0
DB00119,CC(=O)C(=O)O,CC(=O)C(=O)O,FDA,3,3,0,0.5,0.5,0.0,0.3333333333333333,0.0,88.016043988,6,0,0,0,0,0,0,0,0
DB00120,N[C@@H](Cc1ccccc1)C(=O)O,NC(Cc1ccccc1)C(=O)O,FDA,9,2,1,0.75,0.16666666666666666,0.08333333333333333,0.2222222222222222,0.1111111111111111,165.078978592,12,1,0,1,0,0,1,0,0
DB00121,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,FDA,10,3,2,0.625,0.1875,0.125,0.8,0.3,244.088163372,16,2,2,0,2,2,0,0,0
DB00122,C[N+](C)(C)CCO,C[N+](C)(C)CCO,FDA,5,1,1,0.7142857142857143,0.14285714285714285,0.14285714285714285,1.0,0.0,104.10699048808999,7,0,0,0,0,0,0,0,0
DB00123,NCCCC[C@H](N)C(=O)O,NCCCCC(N)C(=O)O,FDA,6,2,2,0.6,0.2,0.2,0.8333333333333334,0.16666666666666666,146.105527688,10,0,0,0,0,0,0,0,0
DB00126,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,OCC(O)c1oc(O)c(O)c1O,FDA,6,6,0,0.5,0.5,0.0,0.3333333333333333,0.16666666666666666,176.032087976,12,1,0,1,1,0,1,0,0
DB00128,N[C@@H](CC(=O)O)C(=O)O,NC(CC(=O)O)C(=O)O,FDA,4,4,1,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.5,0.25,133.037507704,9,0,0,0,0,0,0,0,0
DB00129,NCCC[C@H](N)C(=O)O,NCCCC(N)C(=O)O,FDA,5,2,2,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.8,0.2,132.089877624,9,0,0,0,0,0,0,0,0
DB00130,NC(=O)CC[C@H](N)C(=O)O,NC(=O)CCC(N)C(=O)O,FDA,5,3,2,0.5,0.3,0.2,0.6,0.2,146.06914218,10,0,0,0,0,0,0,0,0
DB00131,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O,N=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO[PH](=O)(=O)O)[C@@H](O)[C@H]1O,FDA,10,7,5,0.43478260869565216,0.30434782608695654,0.21739130434782608,0.5,0.4,347.0630844179999,23,3,1,2,3,1,2,0,0
DB00132,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O,FDA,18,2,0,0.9,0.1,0.0,0.6111111111111112,0.0,278.2245802,20,0,0,0,0,0,0,0,0
DB00134,CSCC[C@H](N)C(=O)O,CSCCC(N)C(=O)O,FDA,5,2,1,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.8,0.2,149.051049592,9,0,0,0,0,0,0,0,0
DB00135,N[C@@H](Cc1ccc(O)cc1)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,FDA,9,3,1,0.6923076923076923,0.23076923076923078,0.07692307692307693,0.2222222222222222,0.1111111111111111,181.073893212,13,1,0,1,0,0,1,0,0
DB00136,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,FDA,27,3,0,0.9,0.1,0.0,0.7777777777777778,0.2222222222222222,416.32904526799996,30,3,3,0,0,0,0,0,0
DB00137,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C,FDA,40,2,0,0.9523809523809523,0.047619047619047616,0.0,0.45,0.075,568.428031032,42,2,2,0,0,0,0,0,0
DB00138,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,NC(CSSCC(N)C(=O)O)C(=O)O,FDA,6,4,2,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.6666666666666666,0.3333333333333333,240.023848864,14,0,0,0,0,0,0,0,0
DB00139,O=C(O)CCC(=O)O,O=C(O)CCC(=O)O,FDA,4,4,0,0.5,0.5,0.0,0.5,0.0,118.02660867200001,8,0,0,0,0,0,0,0,0
DB00140,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,FDA,17,6,4,0.6296296296296297,0.2222222222222222,0.14814814814814814,0.4117647058823529,0.17647058823529413,376.13828435999994,27,3,2,1,2,2,1,0,0
DB00141,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,CC(=O)NC(C=O)C(O)C(O)C(O)CO,FDA,8,6,1,0.5333333333333333,0.4,0.06666666666666667,0.75,0.5,221.0899372,15,0,0,0,0,0,0,0,0
