,,NPDBEJECOL,BIOFACQUIM,NuBBE,PeruNPD,FDA
NumCarbons,mean,13.96,21.74,20.6,20.19,18.53
NumOxygens,mean,2.78,5.88,4.95,5.73,4.05
NumNitrogens,mean,0.12,0.15,0.24,0.27,2.44
FractionOfCarbons,mean,0.87,0.79,0.81,0.78,0.68
FractionOfOxygens,mean,0.12,0.2,0.18,0.2,0.17
FractionOfNitrogens,mean,0.01,0.01,0.01,0.01,0.09
CSP3,mean,0.63,0.49,0.5,0.53,0.45
FractionOfChiralCarbons,mean,0.09,0.15,0.14,0.17,0.1
MW,mean,234.77,386.43,357.55,367.22,376.56
NumHeavyAtoms,mean,16.88,27.8,25.83,26.27,25.92
Ring,mean,1.69,3.26,3.19,2.79,2.66
AliphaticRing,mean,1.11,1.96,1.87,1.63,1.18
AromaticRing,mean,0.58,1.3,1.32,1.15,1.48
Heterocycle,mean,0.45,1.27,1.13,0.98,1.19
AliphaticHeterocycle,mean,0.36,0.98,0.8,0.74,0.7
AromaticHeterocycle,mean,0.58,1.3,1.32,1.15,1.48
SpiroAtom,mean,0.02,0.1,0.12,0.07,0.03
BridgeheadAtom,mean,0.41,0.23,0.19,0.09,0.18
