ID,All_fragments,All_fragments_h,Counts
FDA_All_frag_1,*O,O,456
FDA_All_frag_2,*C(C)=O,CC=O,113
FDA_All_frag_3,*c1ccccc1,c1ccccc1,75
FDA_All_frag_4,*CC(*)=O,CC=O,74
FDA_All_frag_5,*C(*)=O,C=O,73
FDA_All_frag_6,*C(C)C,CCC,62
FDA_All_frag_7,*OC,CO,59
FDA_All_frag_8,*N1CCN(*)CC1,C1CNCCN1,54
FDA_All_frag_9,*OCC,CCO,47
FDA_All_frag_10,*CC(=O)O,CC(=O)O,40
FDA_All_frag_11,*CCO,CCO,34
FDA_All_frag_12,*N1CCN(C)CC1,CN1CCNCC1,30
FDA_All_frag_13,*N*,N,29
FDA_All_frag_14,*CC(O)C*,CC(C)O,27
FDA_All_frag_15,*CCN(C)C,CCN(C)C,26
FDA_All_frag_16,*Cc1ccccc1,Cc1ccccc1,25
FDA_All_frag_17,*N1CCOCC1,C1COCCN1,24
FDA_All_frag_18,*C(=O)CC,CCC=O,22
FDA_All_frag_19,*CCCC,CCCC,21
FDA_All_frag_20,*C(N)=O,NC=O,21
FDA_All_frag_21,*S(=O)(=O)c1ccc(N)cc1,Nc1ccc([SH](=O)=O)cc1,21
FDA_All_frag_22,*N1CCCCC1,C1CCNCC1,20
FDA_All_frag_23,*C(C)(C)C,CC(C)C,19
FDA_All_frag_24,*c1ccc(*)cc1,c1ccccc1,19
FDA_All_frag_25,*Cc1ccc(*)cc1,Cc1ccccc1,17
FDA_All_frag_26,*C(=O)c1ccccc1,O=Cc1ccccc1,16
FDA_All_frag_27,*C1CCN(*)CC1,C1CCNCC1,16
FDA_All_frag_28,*CCCCC(*)=O,CCCCC=O,15
FDA_All_frag_29,*n1ccnc1,c1c[nH]cn1,15
FDA_All_frag_30,*NC1C(=O)N2C1SC(C)(C)C2C(*)=O,CC1(C)SC2C(N)C(=O)N2C1C=O,14
FDA_All_frag_31,*NC,CN,14
FDA_All_frag_32,*NCC(*)=O,NCC=O,13
FDA_All_frag_33,*C(=O)C(*)C,CCC=O,13
FDA_All_frag_34,*N1CCCC1,C1CCNC1,13
FDA_All_frag_35,*CCCl,CCCl,13
FDA_All_frag_36,*CCN(CC)CC,CCN(CC)CC,13
FDA_All_frag_37,*OC(C)C,CC(C)O,13
FDA_All_frag_38,*S(C)(=O)=O,C[SH](=O)=O,13
FDA_All_frag_39,*C(=O)c1ccccc1*,O=Cc1ccccc1,12
FDA_All_frag_40,*C1CC1,C1CC1,12
FDA_All_frag_41,*CCCN(C)C,CCCN(C)C,12
FDA_All_frag_42,*C(=O)C(O)(CC(=O)O)CC(=O)O,O=CC(O)(CC(=O)O)CC(=O)O,12
FDA_All_frag_43,*NC(CCC(*)=O)C(=O)O,NC(CCC=O)C(=O)O,12
FDA_All_frag_44,*CCN(CC(*)=O)CC(=O)O,CCN(CC=O)CC(=O)O,12
FDA_All_frag_45,*CCN(CC(*)=O)CC(*)=O,CCN(CC=O)CC=O,12
FDA_All_frag_46,*NC(CCC(*)=O)C(*)=O,NC(C=O)CCC=O,12
FDA_All_frag_47,*C(=O)c1ccc(*)cc1,O=Cc1ccccc1,12
FDA_All_frag_48,*C(=O)CC(O)(CC(=O)O)C(=O)O,O=CCC(O)(CC(=O)O)C(=O)O,12
FDA_All_frag_49,*CC(C)C,CC(C)C,12
FDA_All_frag_50,*C(=O)CC(O)(CC(*)=O)C(*)=O,O=CCC(O)(C=O)CC=O,12
FDA_All_frag_51,*NC(CCC(=O)O)C(=O)O,NC(CCC(=O)O)C(=O)O,12
FDA_All_frag_52,*C(=O)OC,COC=O,12
FDA_All_frag_53,*C(=O)CC(O)(CC(*)=O)C(=O)O,O=CCC(O)(CC=O)C(=O)O,12
FDA_All_frag_54,*C(=O)CC(O)(CC(=O)O)C(*)=O,O=CCC(O)(C=O)CC(=O)O,12
FDA_All_frag_55,*NC(CCC(=O)O)C(*)=O,NC(C=O)CCC(=O)O,12
FDA_All_frag_56,*CCO*,CCO,11
FDA_All_frag_57,*N(C)C,CNC,11
FDA_All_frag_58,*C1CCN(C)CC1,CN1CCCCC1,11
FDA_All_frag_59,*CC(O)CNC(C)C,CC(O)CNC(C)C,11
FDA_All_frag_60,*C=O,C=O,11
FDA_All_frag_61,*NC1C(=O)N2C1SC(C)(C)C2C(=O)O,CC1(C)SC2C(N)C(=O)N2C1C(=O)O,11
FDA_All_frag_62,*C(c1ccccc1)c1ccccc1,c1ccc(Cc2ccccc2)cc1,11
FDA_All_frag_63,*NCC(=O)O,NCC(=O)O,11
FDA_All_frag_64,*CC1CC1,CC1CC1,11
FDA_All_frag_65,*CO*,CO,10
FDA_All_frag_66,*CCN(CC(=O)O)CC(=O)O,CCN(CC(=O)O)CC(=O)O,10
FDA_All_frag_67,*c1ccc(F)cc1,Fc1ccccc1,10
FDA_All_frag_68,*C(=O)C(*)CCc1ccccc1,O=CCCCc1ccccc1,10
FDA_All_frag_69,*C(=O)c1ccccc1O,O=Cc1ccccc1O,10
FDA_All_frag_70,*CC(F)(F)F,CC(F)(F)F,10
FDA_All_frag_71,*C(=O)CCC(*)=O,O=CCCC=O,10
FDA_All_frag_72,*n1cncn1,c1nc[nH]n1,10
FDA_All_frag_73,*c1ccc(Cl)cc1,Clc1ccccc1,10
FDA_All_frag_74,*C(=O)O,O=CO,9
FDA_All_frag_75,*n1cnc2c(=N)[nH]cnc21,N=c1[nH]cnc2[nH]cnc12,9
FDA_All_frag_76,*c1ccccn1,c1ccncc1,9
FDA_All_frag_77,*CCCC*,CCCC,9
FDA_All_frag_78,*Nc1c(C)cccc1C,Cc1cccc(C)c1N,9
FDA_All_frag_79,*CCC(*)=O,CCC=O,9
FDA_All_frag_80,*CCCN1CCN(*)CC1,CCCN1CCNCC1,9
FDA_All_frag_81,*CCN1CCN(*)CC1,CCN1CCNCC1,9
FDA_All_frag_82,*NC1C(=O)N2C(C(*)=O)C(C)(C)S[C@H]12,CC1(C)S[C@@H]2C(N)C(=O)N2C1C=O,8
FDA_All_frag_83,*NC1C(=O)N2C1SCC(*)C2C(=O)O,NC1C(=O)N2C(C(=O)O)CCSC12,8
FDA_All_frag_84,*C(=O)CCC(=O)O,O=CCCC(=O)O,8
FDA_All_frag_85,*C(=O)C(N)c1ccccc1,NC(C=O)c1ccccc1,8
FDA_All_frag_86,*CCCCC(=O)O,CCCCC(=O)O,8
FDA_All_frag_87,*N1CCNCC1,C1CNCCN1,8
FDA_All_frag_88,*C1CCCCC1,C1CCCCC1,8
FDA_All_frag_89,*C(CCc1ccccc1)C(=O)OCC,CCOC(=O)CCCc1ccccc1,8
FDA_All_frag_90,*C(=O)C(CO)c1ccccc1,O=CC(CO)c1ccccc1,8
FDA_All_frag_91,*C/C=C(\C)C*,CC=C(C)C,8
FDA_All_frag_92,*CC(CC)CCCC,CCCCC(C)CC,8
FDA_All_frag_93,*[C@H]1C[C@H](O)[C@@H](CO)O1,OC[C@H]1OCC[C@@H]1O,8
FDA_All_frag_94,*N(CC)CC,CCNCC,8
FDA_All_frag_95,*Nc1ccc(*)cc1,Nc1ccccc1,8
FDA_All_frag_96,*C(=O)OCC,CCOC=O,8
FDA_All_frag_97,*NC1C(=O)N2C1SCC(*)C2C(*)=O,NC1C(=O)N2C(C=O)CCSC12,8
FDA_All_frag_98,*NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,CC1(C)S[C@@H]2C(N)C(=O)N2C1C(=O)O,8
FDA_All_frag_99,*c1ccccc1*,c1ccccc1,8
FDA_All_frag_100,*C(=O)C(C)NC(CCc1ccccc1)C(*)=O,CC(C=O)NC(C=O)CCc1ccccc1,7
FDA_All_frag_101,*CCOCC*,CCOCC,7
