ID,All_fragments,All_fragments_h,Counts
NPDBEJECOL_All_frag_1,*C(C)C,CCC,34
NPDBEJECOL_All_frag_2,*O,O,20
NPDBEJECOL_All_frag_3,*C(C)CCC=C(C)C,CCCCC=C(C)C,13
NPDBEJECOL_All_frag_4,*CCCC(*)C,CCCCC,13
NPDBEJECOL_All_frag_5,*OCC,CCO,11
NPDBEJECOL_All_frag_6,*C(C)=O,CC=O,10
NPDBEJECOL_All_frag_7,*OC,CO,9
NPDBEJECOL_All_frag_8,*CC=O,CC=O,8
NPDBEJECOL_All_frag_9,*C(=O)CCC,CCCC=O,7
NPDBEJECOL_All_frag_10,*C(=O)c1ccccc1,O=Cc1ccccc1,6
NPDBEJECOL_All_frag_11,*CC/C=C\CC,CC/C=C\CC,5
NPDBEJECOL_All_frag_12,*CCCCCCCCC(=O)O,CCCCCCCCC(=O)O,5
NPDBEJECOL_All_frag_13,*CCCCCCCCC(*)=O,CCCCCCCCC=O,5
NPDBEJECOL_All_frag_14,*OCC/C=C\CC,CC/C=C\CCO,4
NPDBEJECOL_All_frag_15,*c1oc2cc(O)cc(O)c2c(=O)c1*,O=c1ccoc2cc(O)cc(O)c12,4
NPDBEJECOL_All_frag_16,*CCCCCCC,CCCCCCC,3
NPDBEJECOL_All_frag_17,*CC(=O)CC(=O)C*,CC(=O)CC(C)=O,3
NPDBEJECOL_All_frag_18,*CCCC,CCCC,3
NPDBEJECOL_All_frag_19,*C1OC(CO)C(O)C(O)C1OC1OC(C)C(O)C(O)C1O,CC1OC(OC2COC(CO)C(O)C2O)C(O)C(O)C1O,3
NPDBEJECOL_All_frag_20,*CCCCCC,CCCCCC,3
NPDBEJECOL_All_frag_21,*C1OC(CO)C(O)C(O)C1*,OCC1OCCC(O)C1O,3
NPDBEJECOL_All_frag_22,*C(C)C=C,C=CCC,3
NPDBEJECOL_All_frag_23,*C1OC(C)C(O)C(O)C1O,CC1OCC(O)C(O)C1O,3
NPDBEJECOL_All_frag_24,*Cc1ccc(O)c(OC)c1,COc1cc(C)ccc1O,3
NPDBEJECOL_All_frag_25,*c1ccc(O)c(O)c1,Oc1ccccc1O,3
NPDBEJECOL_All_frag_26,*c1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,3
NPDBEJECOL_All_frag_27,*CCO,CCO,3
NPDBEJECOL_All_frag_28,*CC=C,C=CC,3
NPDBEJECOL_All_frag_29,*C(C)CC/C=C(\C)CCC=C(C)C,CCCC/C=C(\C)CCC=C(C)C,2
NPDBEJECOL_All_frag_30,*C(=O)CCCCC,CCCCCC=O,2
NPDBEJECOL_All_frag_31,*C(=O)CC=CCC,CCC=CCC=O,2
NPDBEJECOL_All_frag_32,*OCC(C)CC,CCC(C)CO,2
NPDBEJECOL_All_frag_33,*CC(C)CC,CCC(C)C,2
NPDBEJECOL_All_frag_34,*CC(*)=O,CC=O,2
NPDBEJECOL_All_frag_35,*c1oc2cc(O)cc(O)c2c(=O)c1O[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,C[C@@H]1O[C@@H](Oc2coc3cc(O)cc(O)c3c2=O)[C@H](O)[C@H](O)[C@H]1O,2
NPDBEJECOL_All_frag_36,*C(=O)CCCCCCC,CCCCCCCC=O,2
NPDBEJECOL_All_frag_37,*OCCCCCC,CCCCCCO,2
NPDBEJECOL_All_frag_38,*[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,C[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,2
NPDBEJECOL_All_frag_39,*CCCC(C)=O,CCCC(C)=O,2
NPDBEJECOL_All_frag_40,*CCCC(C)(O)C=C,C=CC(C)(O)CCC,2
NPDBEJECOL_All_frag_41,*CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,CC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,2
NPDBEJECOL_All_frag_42,*CCC/C(C)=C/CCC(*)C,CCCC/C=C(\C)CCC,2
NPDBEJECOL_All_frag_43,*CCCC(=C)C=C,C=CC(=C)CCC,2
NPDBEJECOL_All_frag_44,*CC(=O)CC(=O)C=Cc1ccc(O)c(OC)c1,COc1cc(C=CC(=O)CC(C)=O)ccc1O,2
NPDBEJECOL_All_frag_45,*CC/C=C(\C)C=C,C=C/C(C)=C/CC,2
NPDBEJECOL_All_frag_46,*OCCCC,CCCCO,2
NPDBEJECOL_All_frag_47,*CCC(*)C,CCCC,2
NPDBEJECOL_All_frag_48,*CCCCCCCCC,CCCCCCCCC,2
NPDBEJECOL_All_frag_49,*CC/C=C\CCCCCCCC(=O)O,CC/C=C\CCCCCCCC(=O)O,2
NPDBEJECOL_All_frag_50,*CCC(C)=C(C)C,CCC(C)=C(C)C,2
NPDBEJECOL_All_frag_51,*CC(=O)CC(=O)C=Cc1ccc(O)cc1,CC(=O)CC(=O)C=Cc1ccc(O)cc1,2
NPDBEJECOL_All_frag_52,*C(=O)CCCCCCCCCCCCC,CCCCCCCCCCCCCC=O,2
NPDBEJECOL_All_frag_53,*CCC/C(C)=C/CO,CCC/C(C)=C/CO,2
NPDBEJECOL_All_frag_54,*CCCCCCCCCCC(=O)O,CCCCCCCCCCC(=O)O,2
NPDBEJECOL_All_frag_55,*CCCCCCCCCCC(*)=O,CCCCCCCCCCC=O,2
NPDBEJECOL_All_frag_56,*Cc1ccc(O)cc1,Cc1ccc(O)cc1,2
NPDBEJECOL_All_frag_57,*CCC/C(C)=C/C=O,CCC/C(C)=C/C=O,2
NPDBEJECOL_All_frag_58,*CC/C=C\CCCCCCCC(*)=O,CC/C=C\CCCCCCCC=O,2
NPDBEJECOL_All_frag_59,*CCCC1(C)C2CC=C(C)C1C2,CCCC1(C)C2CC=C(C)C1C2,1
NPDBEJECOL_All_frag_60,*C(=O)OCC,CCOC=O,1
NPDBEJECOL_All_frag_61,*C1C/C=C(\C)CC/C=C(\C)CC1,C/C1=C\CCCC/C(C)=C/CC1,1
NPDBEJECOL_All_frag_62,*OC(C)C,CC(C)O,1
NPDBEJECOL_All_frag_63,*OCC1=CCC2CC1C2(C)C,CC1(C)C2CC=C(CO)C1C2,1
NPDBEJECOL_All_frag_64,*CC1=CCC2CC1C2(C)C,CC1=CCC2CC1C2(C)C,1
NPDBEJECOL_All_frag_65,*CCC[C@@]1(C)[C@H]2CC=C(C)[C@@H]1C2,CCC[C@@]1(C)[C@H]2CC=C(C)[C@@H]1C2,1
NPDBEJECOL_All_frag_66,*CC(C)=O,CC(C)=O,1
NPDBEJECOL_All_frag_67,*CC1=C(C)CC[C@@H](C)C1(C)C,CC1=C(C)C(C)(C)[C@H](C)CC1,1
NPDBEJECOL_All_frag_68,*C(=O)CC(C)C,CC(C)CC=O,1
NPDBEJECOL_All_frag_69,*C(=O)OCC1=CCC2CC1C2(C)C,CC1(C)C2CC=C(COC=O)C1C2,1
NPDBEJECOL_All_frag_70,*C(=O)C(CO)c1ccccc1,O=CC(CO)c1ccccc1,1
NPDBEJECOL_All_frag_71,*C(*)=O,C=O,1
NPDBEJECOL_All_frag_72,*OC1CC2C(C2(C)C)C2(C)C1=CCCC2C,CC1CCC=C2C(O)CC3C(C3(C)C)C21C,1
NPDBEJECOL_All_frag_73,*CCCC(C)(O)C#C,C#CC(C)(O)CCC,1
NPDBEJECOL_All_frag_74,*C1CC=C(C)CC1,CC1=CCCCC1,1
NPDBEJECOL_All_frag_75,*CCCC(C)c1ccc(C)cc1,CCCC(C)c1ccc(C)cc1,1
NPDBEJECOL_All_frag_76,*CCC[C@@H](C)[C@H]1C=CC(C)=CC1,CCC[C@@H](C)[C@H]1C=CC(C)=CC1,1
NPDBEJECOL_All_frag_77,*CCCC(=C)[C@@H]1CC=C(C)CC1,C=C(CCC)[C@@H]1CC=C(C)CC1,1
NPDBEJECOL_All_frag_78,*CCC[C@H](C)[C@@H]1C=CC(=C)CC1,C=C1C=C[C@@H]([C@@H](C)CCC)CC1,1
NPDBEJECOL_All_frag_79,*C(=O)CCc1nccc2c1[nH]c1ccccc12,O=CCCc1nccc2c1[nH]c1ccccc12,1
NPDBEJECOL_All_frag_80,*C(=O)c1cc(OC)c(O)c(OC)c1,COc1cc(C=O)cc(OC)c1O,1
NPDBEJECOL_All_frag_81,*C(=O)c1ccc(O)c(OC)c1,COc1cc(C=O)ccc1O,1
NPDBEJECOL_All_frag_82,*Cc1cc(OC)c(O)c(OC)c1,COc1cc(C)cc(OC)c1O,1
NPDBEJECOL_All_frag_83,*CCCC(C)CCO,CCCC(C)CCO,1
