ID,All_fragments,All_fragments_h,Counts
NuBBE_All_frag_1,*C(C)=O,CC=O,234
NuBBE_All_frag_2,*OC,CO,164
NuBBE_All_frag_3,*O,O,148
NuBBE_All_frag_4,*C(C)C,CCC,144
NuBBE_All_frag_5,*CC(*)=O,CC=O,82
NuBBE_All_frag_6,*[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,62
NuBBE_All_frag_7,*CCCC(*)C,CCCCC,42
NuBBE_All_frag_8,*Cc1ccccc1,Cc1ccccc1,37
NuBBE_All_frag_9,*C(C)CCC=C(C)C,CCCCC=C(C)C,35
NuBBE_All_frag_10,*C(C)C=C,C=CCC,33
NuBBE_All_frag_11,*c1ccc(O)cc1,Oc1ccccc1,27
NuBBE_All_frag_12,*c1ccc(O)c(O)c1,Oc1ccccc1O,25
NuBBE_All_frag_13,*[C@@H]1O[C@@H](C)[C@H](O)[C@@H](O)[C@H]1O,C[C@@H]1OC[C@H](O)[C@H](O)[C@H]1O,25
NuBBE_All_frag_14,*c1oc2cc(O)cc(O)c2c(=O)c1*,O=c1ccoc2cc(O)cc(O)c12,24
NuBBE_All_frag_15,*C(=O)c1ccccc1,O=Cc1ccccc1,22
NuBBE_All_frag_16,*Cc1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,21
NuBBE_All_frag_17,*C(=O)CCC,CCCC=O,20
NuBBE_All_frag_18,*c1ccc(OC)cc1,COc1ccccc1,20
NuBBE_All_frag_19,*CC=C(C)C,CC=C(C)C,19
NuBBE_All_frag_20,*C(=O)C=Cc1ccc(O)c(O)c1,O=CC=Cc1ccc(O)c(O)c1,18
NuBBE_All_frag_21,*c1ccc(OC)c(OC)c1,COc1ccccc1OC,18
NuBBE_All_frag_22,*C[C@@H](C)CC,CCC(C)C,16
NuBBE_All_frag_23,*c1ccccc1,c1ccccc1,15
NuBBE_All_frag_24,*C[C@H]1O[C@@H](*)[C@H](O)[C@@H](O)[C@@H]1O,C[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O,15
NuBBE_All_frag_25,*Cc1ccc(O)cc1,Cc1ccc(O)cc1,13
NuBBE_All_frag_26,*c1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,13
NuBBE_All_frag_27,*Cc1ccc2c(c1)OCO2,Cc1ccc2c(c1)OCO2,12
NuBBE_All_frag_28,*C(=O)c1cc(O)c(O)c(O)c1,O=Cc1cc(O)c(O)c(O)c1,12
NuBBE_All_frag_29,*CCC/C(C)=C/CCC(*)C,CCCC/C=C(\C)CCC,12
NuBBE_All_frag_30,*CCCC,CCCC,11
NuBBE_All_frag_31,*O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,11
