ID,All_fragments,All_fragments_h,Counts
PeruNPD_All_frag_1,*O,O,74
PeruNPD_All_frag_2,*C1OC(CO)C(O)C(O)C1O,OCC1OCC(O)C(O)C1O,24
PeruNPD_All_frag_3,*CC(*)=O,CC=O,21
PeruNPD_All_frag_4,*CC1OC(*)C(O)C(O)C1O,CC1OCC(O)C(O)C1O,17
PeruNPD_All_frag_5,*C(C)=O,CC=O,16
PeruNPD_All_frag_6,*OC,CO,15
PeruNPD_All_frag_7,*CC(=O)O,CC(=O)O,13
PeruNPD_All_frag_8,*C1OC(C)C(*)C(O)C1O,CC1CC(O)C(O)CO1,10
PeruNPD_All_frag_9,*C1OC(COC2OC(C)C(*)C(O)C2O)C(O)C(O)C1O,CC1CC(O)C(O)C(OCC2OCC(O)C(O)C2O)O1,10
PeruNPD_All_frag_10,*CCCCCCCCC(*)=O,CCCCCCCCC=O,8
PeruNPD_All_frag_11,*Cc1ccc(O)c(O)c1,Cc1ccc(O)c(O)c1,8
PeruNPD_All_frag_12,*c1ccc(O)c(O)c1,Oc1ccccc1O,8
PeruNPD_All_frag_13,*c1ccc(O)cc1,Oc1ccccc1,8
PeruNPD_All_frag_14,*c1cc2c(O)cc(O)cc2[o+]c1*,Oc1cc(O)c2ccc[o+]c2c1,8
PeruNPD_All_frag_15,*Cc1ccc(O)c(OC)c1,COc1cc(C)ccc1O,7
PeruNPD_All_frag_16,*C(=O)C=Cc1ccc(O)c(O)c1,O=CC=Cc1ccc(O)c(O)c1,7
PeruNPD_All_frag_17,*C(=O)CC(*)C,CCCC=O,6
PeruNPD_All_frag_18,*CCCCCCCCC(=O)O,CCCCCCCCC(=O)O,6
PeruNPD_All_frag_19,*c1[o+]c2cc(O)cc(O)c2cc1OC1OC(CO)C(O)C(O)C1O,OCC1OC(Oc2c[o+]c3cc(O)cc(O)c3c2)C(O)C(O)C1O,5
PeruNPD_All_frag_20,*C(C)CC(=O)OC,CCCC(=O)OC,5
PeruNPD_All_frag_21,*C(=O)C(=C)C,C=C(C)C=O,5
PeruNPD_All_frag_22,*C(=O)C=Cc1ccc(O)c(OC)c1,COc1cc(C=CC=O)ccc1O,5
PeruNPD_All_frag_23,*C(=O)/C=C/c1ccc(*)cc1,O=C/C=C/c1ccccc1,4
PeruNPD_All_frag_24,*c1cc2c(O)cc(O)cc2[o+]c1-c1ccc(O)c(O)c1,Oc1cc(O)c2ccc(-c3ccc(O)c(O)c3)[o+]c2c1,4
PeruNPD_All_frag_25,*C1OC(C)C(O)C(O)C1O,CC1OCC(O)C(O)C1O,4
PeruNPD_All_frag_26,*NCc1ccccc1,NCc1ccccc1,4
PeruNPD_All_frag_27,*CCC=CCCCCCCCC(*)=O,CCC=CCCCCCCCC=O,4
PeruNPD_All_frag_28,*C(=O)CC(=O)O,O=CCC(=O)O,4
PeruNPD_All_frag_29,*C(=O)CC(*)=O,O=CCC=O,4
PeruNPD_All_frag_30,*Cc1ccc(OC2C(C)OC(OCC3OC(*)C(O)C(O)C3O)C(O)C2O)cc1,Cc1ccc(OC2C(C)OC(OCC3OCC(O)C(O)C3O)C(O)C2O)cc1,4
PeruNPD_All_frag_31,*C(=O)/C=C/c1ccc(OC2C(C)OC(OCC3OC(*)C(O)C(O)C3O)C(O)C2O)cc1,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1Oc1ccc(/C=C/C=O)cc1,4
PeruNPD_All_frag_32,*C1OC(C)C(Oc2ccc(/C=C/C(=O)O)cc2)C(O)C1O,CC1OCC(O)C(O)C1Oc1ccc(/C=C/C(=O)O)cc1,4
PeruNPD_All_frag_33,*C1OC(COC2OC(C)C(Oc3ccc(/C=C/C(=O)O)cc3)C(O)C2O)C(O)C(O)C1O,CC1OC(OCC2OCC(O)C(O)C2O)C(O)C(O)C1Oc1ccc(/C=C/C(=O)O)cc1,4
PeruNPD_All_frag_34,*Cc1ccc(*)cc1,Cc1ccccc1,4
PeruNPD_All_frag_35,*Cc1ccc(OC2C(C)OC(*)C(O)C2O)cc1,Cc1ccc(OC2C(C)OCC(O)C2O)cc1,4
PeruNPD_All_frag_36,*C(=O)/C=C/c1ccc(OC2C(C)OC(*)C(O)C2O)cc1,CC1OCC(O)C(O)C1Oc1ccc(/C=C/C=O)cc1,4
PeruNPD_All_frag_37,*c1ccc(/C=C/C(=O)O)cc1,O=C(O)/C=C/c1ccccc1,4
PeruNPD_All_frag_38,*OC1C(*)CC(O)(C(*)=O)CC1O,O=CC1(O)CCC(O)C(O)C1,3
PeruNPD_All_frag_39,*CC(=O)OC1CC(O)(C(*)=O)CC(O)C1O*,CC(=O)OC1CC(O)(C=O)CC(O)C1O,3
PeruNPD_All_frag_40,*c1cc(=O)c2c(O)cc(O)cc2o1,O=c1ccoc2cc(O)cc(O)c12,3
PeruNPD_All_frag_41,*CC(=O)OC1CC(O)(C(*)=O)CC(O)C1OC(=O)C*,CC(=O)OC1CC(O)(C=O)CC(O)C1OC(C)=O,3
