,,NPDBEJECOL,BIOFACQUIM,NuBBE,PeruNPD,FDA
NumCarbons,mean,9.98,17.28,24.86,22.26,15.99
NumOxygens,mean,1.8,4.87,8.7,6.18,3.71
NumNitrogens,mean,0.26,0.15,0.38,0.03,1.95
FractionOfCarbons,mean,0.83,0.77,0.74,0.78,0.72
FractionOfOxygens,mean,0.15,0.22,0.25,0.22,0.16
FractionOfNitrogens,mean,0.02,0.01,0.01,0.0,0.09
CSP3,mean,0.63,0.54,0.63,0.61,0.5
FractionOfChiralCarbons,mean,0.08,0.18,0.3,0.17,0.13
MW,mean,168.31,311.16,475.69,399.9,317.27
NumHeavyAtoms,mean,12.04,22.32,33.95,28.47,22.16
Ring,mean,0.94,2.48,3.84,1.54,2.19
AliphaticRing,mean,0.53,1.61,2.89,0.95,1.0
AromaticRing,mean,0.4,0.87,0.95,0.6,1.19
Heterocycle,mean,0.33,0.94,1.88,0.67,1.14
AliphaticHeterocycle,mean,0.2,0.65,1.45,0.57,0.58
AromaticHeterocycle,mean,0.4,0.87,0.95,0.6,1.19
SpiroAtom,mean,0.03,0.07,0.55,0.05,0.03
BridgeheadAtom,mean,0.07,0.3,1.37,0.05,0.15
